x,y
0,1.0
1,1.0
2,2.0
3,6.0
4,6.0
5,9.0
6,12.0
7,17.0
8,19.0
9,20.0
10,21.0
11,24.0
12,25.0
13,28.0
14,34.0
15,34.0
16,36.0
17,38.0
18,39.0
19,47.0
20,50.0
21,61.0
22,61.0
23,70.0
24,77.0
25,87.0
26,95.0
27,126.0
28,137.0
29,155.0
30,156.0
31,167.0
32,180.0
33,196.0
34,214.0
35,235.0
36,257.0
37,289.0
38,294.0
39,316.0
40,384.0
41,430.0
42,473.0
43,500.0
44,530.0
45,530.0
46,557.0
47,599.0
48,644.0
49,688.0
50,703.0
51,730.0
52,763.0
53,798.0
54,832.0
55,900.0
56,967.0
57,1052.0
58,1114.0
59,1199.0
60,1342.0
61,1518.0
62,1643.0
63,1763.0
64,1763.0
65,1912.0
66,2133.0
67,2265.0
68,2512.0
69,2743.0
70,3054.0
71,3424.0
72,3760.0
73,3954.0
74,4145.0
75,4348.0
76,4607.0
77,4739.0
78,5087.0
79,5336.0
