x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,8.0
6,8.0
7,9.0
8,9.0
9,15.0
10,18.0
11,18.0
12,18.0
13,33.0
14,33.0
15,36.0
16,36.0
17,38.0
18,38.0
19,38.0
20,38.0
21,43.0
22,43.0
23,43.0
24,46.0
25,50.0
26,50.0
27,50.0
28,50.0
29,50.0
30,52.0
31,52.0
32,53.0
33,73.0
34,73.0
35,205.0
36,205.0
37,257.0
38,257.0
39,257.0
40,413.0
41,413.0
42,475.0
43,564.0
44,594.0
45,641.0
46,726.0
47,761.0
48,820.0
49,836.0
50,913.0
51,913.0
52,969.0
53,990.0
54,1032.0
55,1038.0
56,1089.0
57,1109.0
58,1114.0
59,1114.0
60,1114.0
61,1178.0
62,1178.0
63,1195.0
64,1195.0
65,1256.0
66,1256.0
67,1256.0
68,1339.0
