x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,2.0
9,2.0
10,4.0
11,4.0
12,4.0
13,4.0
14,8.0
15,8.0
16,16.0
17,22.0
18,22.0
19,30.0
20,52.0
21,73.0
22,111.0
23,121.0
24,128.0
25,144.0
26,164.0
27,194.0
28,212.0
29,250.0
30,250.0
31,319.0
32,363.0
33,404.0
34,438.0
35,477.0
36,518.0
37,579.0
38,622.0
39,688.0
40,761.0
41,862.0
42,954.0
43,996.0
44,996.0
45,1163.0
46,1240.0
47,1351.0
48,1495.0
49,1537.0
50,1586.0
51,1586.0
52,1710.0
53,1811.0
54,1856.0
55,1927.0
56,2009.0
57,2042.0
58,2146.0
59,2146.0
60,2298.0
61,2374.0
62,2473.0
63,2473.0
64,2658.0
65,2658.0
66,2796.0
67,2863.0
68,2863.0
69,3067.0
70,3067.0
71,3176.0
72,3275.0
73,3275.0
74,3275.0
75,3275.0
76,3553.0
77,3656.0
78,3706.0
79,3706.0
80,3844.0
