x,y
0,1.0
1,1.0
2,1.0
3,4.0
4,4.0
5,7.0
6,7.0
7,7.0
8,7.0
9,7.0
10,19.0
11,20.0
12,5.0
13,5.0
14,5.0
15,5.0
16,8.0
17,8.0
18,8.0
19,12.0
20,19.0
21,19.0
22,23.0
23,23.0
24,24.0
25,31.0
26,33.0
27,37.0
28,37.0
29,37.0
30,45.0
31,45.0
32,45.0
33,47.0
34,55.0
35,55.0
36,63.0
37,63.0
38,65.0
39,65.0
40,66.0
41,67.0
42,70.0
43,73.0
44,73.0
45,74.0
46,74.0
47,74.0
48,78.0
49,82.0
50,82.0
51,82.0
52,82.0
53,92.0
54,93.0
55,93.0
56,93.0
57,94.0
58,94.0
59,104.0
60,109.0
61,113.0
62,113.0
63,113.0
64,116.0
65,117.0
66,117.0
67,124.0
68,125.0
69,125.0
70,127.0
71,127.0
72,127.0
73,135.0
74,137.0
75,139.0
76,139.0
77,150.0
78,150.0
79,152.0
80,153.0
81,153.0
