x,y
0,2.0
1,2.0
2,2.0
3,6.0
4,7.0
5,8.0
6,8.0
7,8.0
8,8.0
9,15.0
10,15.0
11,15.0
12,16.0
13,16.0
14,18.0
15,20.0
16,21.0
17,24.0
18,25.0
19,27.0
20,30.0
21,31.0
22,33.0
23,33.0
24,40.0
25,40.0
26,41.0
27,41.0
28,43.0
29,44.0
30,47.0
31,57.0
32,57.0
33,62.0
34,72.0
35,72.0
36,72.0
37,74.0
38,76.0
39,76.0
40,76.0
41,81.0
42,85.0
43,85.0
44,88.0
45,100.0
46,101.0
47,101.0
48,129.0
49,146.0
50,151.0
51,182.0
52,209.0
53,209.0
54,234.0
55,273.0
56,310.0
57,358.0
58,456.0
59,533.0
60,533.0
61,596.0
62,734.0
63,812.0
64,865.0
65,865.0
66,958.0
67,1174.0
68,1320.0
69,1320.0
70,1584.0
71,1865.0
72,2124.0
73,2226.0
