x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,4.0
19,4.0
20,4.0
21,4.0
22,6.0
23,6.0
24,6.0
25,6.0
26,6.0
27,7.0
28,7.0
29,7.0
30,7.0
31,7.0
32,7.0
33,8.0
34,8.0
35,8.0
36,8.0
37,8.0
38,8.0
39,8.0
40,8.0
41,8.0
42,8.0
43,8.0
44,8.0
45,9.0
46,9.0
47,9.0
48,9.0
49,9.0
50,9.0
51,9.0
52,9.0
53,10.0
54,10.0
55,11.0
56,11.0
57,11.0
58,11.0
59,11.0
60,11.0
61,12.0
62,12.0
63,12.0
64,12.0
65,12.0
66,12.0
67,12.0
68,12.0
69,12.0
70,12.0
71,12.0
72,12.0
73,12.0
74,12.0
75,12.0
76,12.0
77,12.0
78,12.0
79,12.0
80,12.0
81,12.0
82,12.0
83,12.0
84,12.0
85,12.0
86,12.0
87,12.0
