x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,3.0
5,6.0
6,8.0
7,9.0
8,12.0
9,24.0
10,24.0
11,26.0
12,30.0
13,30.0
14,36.0
15,52.0
16,68.0
17,95.0
18,110.0
19,139.0
20,141.0
21,172.0
22,219.0
23,222.0
24,264.0
25,268.0
26,298.0
27,305.0
28,312.0
29,343.0
30,382.0
31,392.0
32,393.0
33,397.0
34,407.0
35,419.0
36,426.0
37,442.0
38,457.0
39,472.0
40,477.0
41,494.0
42,510.0
43,519.0
44,591.0
45,627.0
46,627.0
47,661.0
48,702.0
49,738.0
50,771.0
51,804.0
52,1010.0
53,1055.0
54,1178.0
55,1270.0
56,1461.0
57,1685.0
58,1771.0
59,1830.0
60,1972.0
61,2100.0
62,2080.0
63,2255.0
64,2318.0
65,2460.0
66,2565.0
67,2646.0
68,2798.0
69,2955.0
70,2955.0
71,3204.0
72,3477.0
73,3477.0
74,3950.0
75,4189.0
76,4401.0
77,4640.0
78,4752.0
79,4752.0
80,5094.0
81,5202.0
82,5362.0
