x,y
0,2.0
1,2.0
2,2.0
3,4.0
4,7.0
5,9.0
6,9.0
7,13.0
8,13.0
9,19.0
10,30.0
11,32.0
12,39.0
13,50.0
14,58.0
15,73.0
16,85.0
17,103.0
18,131.0
19,167.0
20,187.0
21,226.0
22,261.0
23,300.0
24,343.0
25,408.0
26,447.0
27,492.0
28,525.0
29,585.0
30,623.0
31,678.0
32,733.0
33,744.0
34,817.0
35,895.0
36,980.0
37,1190.0
38,1310.0
39,1410.0
40,1458.0
41,1512.0
42,1579.0
43,1652.0
44,1763.0
45,1834.0
46,1916.0
47,1984.0
48,2098.0
49,2168.0
50,2284.0
51,2443.0
52,2443.0
53,2500.0
54,2583.0
55,2649.0
56,2727.0
57,2775.0
58,2863.0
59,2942.0
60,2998.0
61,3035.0
62,3065.0
63,3111.0
64,3150.0
65,3178.0
66,3213.0
67,3263.0
68,3284.0
69,3313.0
70,3341.0
71,3380.0
72,3417.0
73,3473.0
74,3509.0
75,3535.0
76,3556.0
77,3598.0
78,3641.0
79,3678.0
80,3713.0
81,3741.0
82,3756.0
83,3771.0
84,3793.0
85,3816.0
86,3841.0
87,3867.0
88,3876.0
89,3892.0
