x,y
0,1.0
1,1.0
2,3.0
3,6.0
4,11.0
5,26.0
6,34.0
7,43.0
8,50.0
9,50.0
10,58.0
11,69.0
12,85.0
13,103.0
14,134.0
15,156.0
16,171.0
17,180.0
18,220.0
19,250.0
20,330.0
21,409.0
22,473.0
23,568.0
24,588.0
25,648.0
26,737.0
27,802.0
28,890.0
29,963.0
30,1020.0
31,1086.0
32,1135.0
33,1220.0
34,1319.0
35,1364.0
36,1417.0
37,1486.0
38,1562.0
39,1586.0
40,1616.0
41,1648.0
42,1675.0
43,1689.0
44,1701.0
45,1711.0
46,1720.0
47,1727.0
48,1739.0
49,1754.0
50,1760.0
51,1771.0
52,1773.0
53,1778.0
54,1785.0
55,1789.0
56,1789.0
57,1790.0
58,1792.0
59,1792.0
60,1795.0
61,1797.0
62,1797.0
63,1798.0
64,1798.0
65,1799.0
66,1799.0
67,1799.0
68,1799.0
69,1801.0
70,1801.0
71,1801.0
72,1801.0
73,1801.0
74,1801.0
75,1802.0
76,1802.0
77,1802.0
78,1802.0
79,1802.0
80,1802.0
81,1802.0
82,1803.0
83,1803.0
84,1803.0
85,1804.0
86,1804.0
87,1804.0
88,1804.0
89,1805.0
90,1805.0
91,1805.0
92,1806.0
93,1806.0
94,1806.0
