x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,3.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,3.0
22,3.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,5.0
33,5.0
34,28.0
35,30.0
36,31.0
37,34.0
38,39.0
39,43.0
40,56.0
41,62.0
42,73.0
43,82.0
44,102.0
45,113.0
46,119.0
47,142.0
48,156.0
49,194.0
50,244.0
51,330.0
52,396.0
53,499.0
54,536.0
55,657.0
56,727.0
57,887.0
58,987.0
59,1024.0
60,1251.0
61,1397.0
62,1998.0
63,2543.0
64,2567.0
65,3082.0
66,3588.0
67,4778.0
68,5311.0
69,5916.0
70,6725.0
71,7598.0
72,8446.0
73,9205.0
74,10453.0
75,11487.0
76,12322.0
77,13430.0
78,14352.0
79,15722.0
80,17615.0
81,18539.0
82,20080.0
83,21370.0
84,23077.0
85,24530.0
86,26283.0
87,27890.0
88,29451.0
89,31324.0
90,33062.0
91,34863.0
92,37257.0
93,39699.0
94,42505.0
95,46437.0
96,49400.0
97,52987.0
98,56351.0
99,59695.0
100,62808.0
101,67161.0
102,70768.0
103,74292.0
104,78055.0
105,81997.0
106,85784.0
107,90648.0
108,95698.0
109,100328.0
110,106475.0
111,112028.0
112,118226.0
113,124794.0
114,131423.0
115,138536.0
116,144950.0
117,150793.0
118,158086.0
119,165386.0
120,173491.0
121,181827.0
122,190609.0
123,198370.0
