x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,4.0
5,4.0
6,6.0
7,19.0
8,27.0
9,34.0
10,34.0
11,69.0
12,96.0
13,117.0
14,134.0
15,172.0
16,227.0
17,311.0
18,369.0
19,450.0
20,514.0
21,579.0
22,686.0
23,790.0
24,893.0
25,1046.0
26,1155.0
27,1285.0
28,1414.0
29,1528.0
30,1677.0
31,1790.0
32,1986.0
33,2092.0
34,2273.0
35,2491.0
36,2738.0
37,2956.0
38,3293.0
39,3512.0
40,3842.0
41,4241.0
42,4557.0
43,4839.0
44,5136.0
45,5516.0
46,5923.0
47,6248.0
48,6575.0
49,6760.0
50,7135.0
51,7418.0
52,7775.0
53,8211.0
54,8607.0
55,8882.0
56,9096.0
57,9511.0
58,9771.0
59,10118.0
60,10551.0
61,10843.0
62,11192.0
63,11587.0
64,12071.0
65,12438.0
66,12776.0
67,13112.0
68,13645.0
69,14032.0
70,14265.0
71,14749.0
72,15438.0
73,16006.0
74,16496.0
75,17025.0
76,17514.0
77,18010.0
78,18496.0
79,19189.0
80,20162.0
81,20796.0
82,21745.0
83,22271.0
84,22750.0
85,23165.0
86,23851.0
87,24538.0
88,25216.0
89,25773.0
90,26473.0
91,26940.0
