x,y
0,2.0
1,5.0
2,18.0
3,28.0
4,43.0
5,61.0
6,95.0
7,139.0
8,245.0
9,388.0
10,593.0
11,978.0
12,1501.0
13,2336.0
14,2922.0
15,3513.0
16,4747.0
17,5823.0
18,6566.0
19,7161.0
20,8042.0
21,9000.0
22,10075.0
23,11364.0
24,12729.0
25,13938.0
26,14991.0
27,16169.0
28,17361.0
29,18407.0
30,19644.0
31,20610.0
32,21638.0
33,23049.0
34,24811.0
35,27017.0
36,29406.0
37,32332.0
38,35408.0
39,38309.0
40,41495.0
41,44605.0
42,47593.0
43,50468.0
44,53183.0
45,55743.0
46,58226.0
47,60500.0
48,62589.0
49,64586.0
50,66220.0
51,68192.0
52,70029.0
53,71686.0
54,73303.0
55,74877.0
56,76389.0
57,77995.0
58,79494.0
59,80868.0
60,82211.0
61,83505.0
62,84802.0
63,85996.0
64,87026.0
65,88194.0
66,89328.0
67,90481.0
68,91472.0
69,92584.0
70,93657.0
71,94640.0
72,95646.0
73,96448.0
74,97424.0
75,98647.0
76,99970.0
77,101650.0
78,103135.0
79,104691.0
80,106220.0
81,107603.0
82,109286.0
83,110767.0
84,112725.0
85,114533.0
86,116635.0
87,118392.0
88,120198.0
89,122492.0
90,124603.0
91,126949.0
92,129341.0
93,131652.0
94,133521.0
95,135701.0
96,137724.0
97,139511.0
98,141591.0
99,143849.0
100,146668.0
101,148950.0
102,151466.0
103,154445.0
