x,y
0,1.0
1,1.0
2,5.0
3,7.0
4,7.0
5,13.0
6,19.0
7,26.0
8,32.0
9,35.0
10,35.0
11,40.0
12,54.0
13,60.0
14,60.0
15,71.0
16,71.0
17,71.0
18,101.0
19,110.0
20,116.0
21,124.0
22,154.0
23,164.0
24,192.0
25,208.0
26,214.0
27,233.0
28,266.0
29,316.0
30,346.0
31,382.0
32,458.0
33,506.0
34,547.0
35,630.0
36,694.0
37,728.0
38,772.0
39,820.0
40,878.0
41,961.0
42,1031.0
43,1122.0
44,1202.0
45,1232.0
46,1279.0
47,1318.0
48,1352.0
49,1378.0
50,1400.0
51,1415.0
52,1434.0
53,1482.0
54,1513.0
55,1539.0
56,1574.0
57,1602.0
58,1631.0
59,1677.0
60,1708.0
61,1763.0
62,1820.0
63,1847.0
64,1928.0
65,2003.0
66,2085.0
67,2153.0
68,2219.0
69,2296.0
70,2346.0
71,2431.0
72,2480.0
73,2543.0
74,2603.0
75,2679.0
76,2767.0
77,2818.0
78,2913.0
79,3032.0
80,3143.0
81,3193.0
82,3260.0
83,3404.0
84,3554.0
85,3611.0
86,3724.0
87,3877.0
88,3964.0
89,4272.0
90,4469.0
91,4632.0
92,4848.0
93,5135.0
94,5457.0
95,5873.0
96,6179.0
97,6439.0
98,6868.0
