x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,6.0
5,6.0
6,18.0
7,18.0
8,19.0
9,21.0
10,34.0
11,43.0
12,43.0
13,90.0
14,129.0
15,129.0
16,169.0
17,223.0
18,292.0
19,557.0
20,683.0
21,785.0
22,906.0
23,1125.0
24,1329.0
25,1564.0
26,1819.0
27,2121.0
28,2415.0
29,2615.0
30,2910.0
31,3235.0
32,3447.0
33,3849.0
34,4273.0
35,4604.0
36,4994.0
37,5364.0
38,5709.0
39,6074.0
40,6574.0
41,8089.0
42,8928.0
43,9655.0
44,10647.0
45,11479.0
46,12547.0
47,13271.0
48,13980.0
49,14758.0
50,15251.0
51,15652.0
52,16040.0
53,16671.0
54,17607.0
55,18184.0
56,18561.0
57,19262.0
58,19648.0
59,19877.0
60,20253.0
61,20612.0
62,20833.0
63,21176.0
64,21506.0
65,21772.0
66,21983.0
67,22248.0
68,22385.0
69,22541.0
70,22760.0
71,22996.0
72,23135.0
73,23242.0
74,23401.0
75,23827.0
76,23956.0
77,24048.0
78,24112.0
79,24200.0
80,24251.0
81,24315.0
82,24391.0
83,24506.0
84,24582.0
85,24639.0
86,24698.0
87,24735.0
88,24803.0
89,24841.0
90,24876.0
91,24929.0
92,24990.0
93,25062.0
