x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,3.0
7,4.0
8,7.0
9,10.0
10,10.0
11,12.0
12,15.0
13,20.0
14,37.0
15,43.0
16,61.0
17,61.0
18,75.0
19,79.0
20,100.0
21,126.0
22,155.0
23,213.0
24,218.0
25,250.0
26,304.0
27,427.0
28,529.0
29,712.0
30,883.0
31,1071.0
32,1238.0
33,2369.0
34,2693.0
35,3035.0
36,3619.0
37,4247.0
38,4695.0
39,5358.0
40,6092.0
41,6857.0
42,7428.0
43,7851.0
44,8430.0
45,8904.0
46,9248.0
47,9404.0
48,9968.0
49,10408.0
50,10743.0
51,11145.0
52,11586.0
53,12046.0
54,12501.0
55,12758.0
56,12982.0
57,13265.0
58,13491.0
59,13713.0
60,13942.0
61,14498.0
62,14803.0
63,15058.0
64,15298.0
65,15443.0
66,15555.0
67,15728.0
68,15834.0
69,15946.0
70,16101.0
71,16185.0
72,16208.0
73,16246.0
74,16289.0
75,16310.0
76,16381.0
77,16436.0
78,16454.0
79,16477.0
80,16506.0
81,16529.0
82,16548.0
83,16579.0
84,16589.0
85,16608.0
86,16617.0
87,16643.0
88,16659.0
89,16667.0
90,16683.0
91,16690.0
92,16712.0
93,16717.0
94,16734.0
95,16757.0
96,16793.0
97,16872.0
98,16987.0
99,17012.0
100,17071.0
101,17169.0
