x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,20.0
22,62.0
23,155.0
24,229.0
25,322.0
26,453.0
27,655.0
28,888.0
29,1128.0
30,1694.0
31,2036.0
32,2502.0
33,3089.0
34,3858.0
35,4636.0
36,5883.0
37,7375.0
38,9172.0
39,10149.0
40,12462.0
41,15113.0
42,17660.0
43,21157.0
44,24747.0
45,27980.0
46,31506.0
47,35713.0
48,41035.0
49,47021.0
50,53578.0
51,59138.0
52,63927.0
53,69176.0
54,74386.0
55,80589.0
56,86498.0
57,92472.0
58,97689.0
59,101739.0
60,105792.0
61,110574.0
62,115242.0
63,119827.0
64,124632.0
65,128948.0
66,132547.0
67,135586.0
68,139422.0
69,143626.0
70,147577.0
71,152271.0
72,156363.0
73,159516.0
74,162488.0
75,165155.0
76,168941.0
77,172434.0
78,175925.0
79,178972.0
80,181228.0
81,183957.0
82,187327.0
83,189973.0
84,192994.0
85,195351.0
86,197675.0
87,199414.0
88,201505.0
89,203591.0
90,205463.0
91,207428.0
92,209328.0
93,210717.0
94,211938.0
95,213013.0
96,214457.0
97,215858.0
98,217185.0
99,218268.0
100,219070.0
101,219814.0
102,221216.0
103,222104.0
104,223096.0
105,223885.0
106,224760.0
107,225435.0
108,225886.0
109,226699.0
110,227364.0
111,228006.0
112,228658.0
113,229327.0
114,229858.0
115,230158.0
116,230555.0
117,231139.0
118,231732.0
119,232248.0
120,232664.0
121,232997.0
122,233197.0
