x,y
0,1.0
1,2.0
2,8.0
3,8.0
4,10.0
5,10.0
6,12.0
7,13.0
8,15.0
9,16.0
10,16.0
11,19.0
12,19.0
13,21.0
14,26.0
15,26.0
16,26.0
17,30.0
18,32.0
19,36.0
20,36.0
21,44.0
22,47.0
23,47.0
24,53.0
25,58.0
26,58.0
27,63.0
28,63.0
29,63.0
30,63.0
31,65.0
32,69.0
33,73.0
34,73.0
35,125.0
36,143.0
37,143.0
38,163.0
39,173.0
40,223.0
41,223.0
42,233.0
43,257.0
44,288.0
45,305.0
46,350.0
47,364.0
48,364.0
49,396.0
50,422.0
51,432.0
52,463.0
53,469.0
54,471.0
55,473.0
56,478.0
57,488.0
58,490.0
59,490.0
60,502.0
61,505.0
62,507.0
63,509.0
64,509.0
65,511.0
66,517.0
67,520.0
68,520.0
69,520.0
70,529.0
71,534.0
72,544.0
73,550.0
74,552.0
75,556.0
76,564.0
77,569.0
78,569.0
79,575.0
80,581.0
81,586.0
82,588.0
