x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,8.0
13,17.0
14,34.0
15,52.0
16,69.0
17,85.0
18,85.0
19,112.0
20,127.0
21,154.0
22,172.0
23,212.0
24,235.0
25,246.0
26,259.0
27,268.0
28,274.0
29,278.0
30,299.0
31,310.0
32,323.0
33,345.0
34,349.0
35,353.0
36,358.0
37,372.0
38,372.0
39,381.0
40,389.0
41,391.0
42,397.0
43,401.0
44,402.0
45,407.0
46,413.0
47,417.0
48,425.0
49,428.0
50,435.0
51,437.0
52,441.0
53,444.0
54,447.0
55,449.0
56,449.0
57,451.0
58,453.0
59,459.0
60,460.0
61,461.0
62,465.0
63,471.0
64,473.0
65,494.0
66,508.0
67,522.0
68,540.0
69,562.0
70,576.0
71,582.0
72,586.0
73,596.0
74,607.0
75,613.0
76,629.0
77,649.0
78,672.0
79,684.0
80,700.0
81,704.0
82,708.0
83,711.0
84,718.0
85,720.0
86,728.0
87,730.0
88,734.0
89,739.0
90,746.0
