x,y
0,4.0
1,6.0
2,9.0
3,10.0
4,33.0
5,35.0
6,44.0
7,49.0
8,53.0
9,60.0
10,62.0
11,72.0
12,81.0
13,111.0
14,150.0
15,228.0
16,284.0
17,302.0
18,343.0
19,380.0
20,435.0
21,464.0
22,531.0
23,584.0
24,662.0
25,697.0
26,727.0
27,781.0
28,812.0
29,865.0
30,951.0
31,1091.0
32,1232.0
33,1295.0
34,1402.0
35,1546.0
36,1615.0
37,1676.0
38,1852.0
39,1995.0
40,2135.0
41,2289.0
42,2482.0
43,2601.0
44,2717.0
45,2835.0
46,3027.0
47,3138.0
48,3402.0
49,3597.0
50,3857.0
51,3920.0
52,4049.0
53,4205.0
54,4422.0
55,4578.0
56,4834.0
57,4975.0
58,5090.0
59,5207.0
60,5279.0
61,5417.0
62,5571.0
63,5689.0
64,5850.0
65,6157.0
66,6751.0
67,6751.0
68,6969.0
69,7234.0
70,7919.0
71,7919.0
72,8531.0
73,8969.0
74,8969.0
75,9304.0
76,9576.0
77,9932.0
78,10382.0
79,10858.0
80,11308.0
