x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,3.0
5,3.0
6,7.0
7,7.0
8,7.0
9,15.0
10,16.0
11,25.0
12,28.0
13,31.0
14,31.0
15,38.0
16,42.0
17,50.0
18,59.0
19,81.0
20,110.0
21,122.0
22,126.0
23,142.0
24,158.0
25,172.0
26,179.0
27,184.0
28,189.0
29,191.0
30,197.0
31,208.0
32,216.0
33,225.0
34,234.0
35,246.0
36,262.0
37,270.0
38,281.0
39,296.0
40,303.0
41,320.0
42,336.0
43,343.0
44,355.0
45,363.0
46,374.0
47,384.0
48,396.0
49,411.0
50,435.0
51,465.0
52,490.0
53,535.0
54,582.0
55,607.0
56,621.0
57,649.0
58,672.0
59,700.0
60,715.0
61,737.0
62,758.0
63,781.0
64,830.0
65,887.0
66,912.0
67,963.0
68,1029.0
69,1109.0
70,1161.0
71,1192.0
72,1214.0
73,1286.0
74,1348.0
75,1471.0
76,1618.0
77,1745.0
78,1888.0
79,1962.0
80,2021.0
