x,y
0,71.0
1,86.0
2,91.0
3,94.0
4,94.0
5,112.0
6,125.0
7,125.0
8,126.0
9,135.0
10,145.0
11,145.0
12,170.0
13,184.0
14,184.0
15,250.0
16,283.0
17,283.0
18,283.0
19,387.0
20,387.0
21,449.0
22,480.0
23,510.0
24,561.0
25,598.0
26,604.0
27,630.0
28,669.0
29,703.0
30,731.0
31,763.0
32,780.0
33,790.0
34,799.0
35,806.0
36,806.0
37,823.0
38,851.0
39,855.0
40,856.0
41,856.0
42,861.0
43,861.0
44,862.0
45,870.0
46,884.0
47,919.0
48,919.0
49,944.0
50,944.0
51,944.0
52,955.0
53,955.0
54,989.0
55,989.0
56,1003.0
57,1004.0
58,1025.0
59,1032.0
60,1038.0
61,1038.0
62,1047.0
63,1048.0
64,1048.0
65,1064.0
66,1064.0
67,1064.0
