x,y
0,1.0
1,11.0
2,26.0
3,43.0
4,45.0
5,45.0
6,45.0
7,56.0
8,56.0
9,56.0
10,58.0
11,58.0
12,61.0
13,64.0
14,64.0
15,69.0
16,72.0
17,80.0
18,80.0
19,104.0
20,112.0
21,123.0
22,130.0
23,142.0
24,148.0
25,159.0
26,176.0
27,188.0
28,189.0
29,191.0
30,195.0
31,208.0
32,225.0
33,235.0
34,255.0
35,266.0
36,289.0
37,317.0
38,342.0
39,417.0
40,479.0
41,556.0
42,665.0
43,743.0
44,855.0
45,910.0
46,993.0
47,1154.0
48,1234.0
49,1300.0
50,1355.0
51,1405.0
52,1524.0
53,1658.0
54,1751.0
55,1915.0
56,1995.0
57,2080.0
58,2248.0
59,2399.0
60,2614.0
61,2892.0
62,3075.0
63,3288.0
64,3440.0
65,3740.0
66,4024.0
67,4377.0
68,4619.0
69,4983.0
70,5278.0
71,5804.0
72,6289.0
73,6567.0
74,7208.0
75,7623.0
76,8688.0
77,9286.0
78,10277.0
79,11028.0
80,11975.0
81,12860.0
82,13802.0
83,14850.0
84,15691.0
85,16764.0
86,17568.0
87,18609.0
88,19564.0
89,20464.0
90,21302.0
91,21967.0
92,22575.0
93,23267.0
94,24112.0
95,25184.0
96,26192.0
97,27043.0
98,27762.0
