x,y
0,3.0
1,3.0
2,6.0
3,14.0
4,14.0
5,16.0
6,42.0
7,44.0
8,44.0
9,58.0
10,58.0
11,84.0
12,94.0
13,107.0
14,111.0
15,116.0
16,130.0
17,144.0
18,147.0
19,216.0
20,228.0
21,270.0
22,280.0
23,298.0
24,339.0
25,377.0
26,419.0
27,430.0
28,449.0
29,466.0
30,489.0
31,506.0
32,554.0
33,568.0
34,590.0
35,612.0
36,631.0
37,665.0
38,665.0
39,682.0
40,695.0
41,708.0
42,729.0
43,746.0
44,756.0
45,769.0
46,795.0
47,830.0
48,843.0
49,871.0
50,895.0
51,906.0
52,931.0
53,1002.0
54,1016.0
55,1037.0
56,1044.0
57,1082.0
58,1111.0
59,1117.0
60,1138.0
61,1216.0
62,1243.0
63,1270.0
64,1313.0
65,1350.0
66,1365.0
67,1403.0
68,1433.0
69,1468.0
70,1520.0
71,1594.0
72,1662.0
73,1722.0
74,1748.0
75,1817.0
