x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,2.0
7,6.0
8,8.0
9,10.0
10,10.0
11,17.0
12,26.0
13,30.0
14,34.0
15,49.0
16,71.0
17,86.0
18,111.0
19,124.0
20,139.0
21,180.0
22,197.0
23,221.0
24,244.0
25,280.0
26,305.0
27,347.0
28,376.0
29,398.0
30,446.0
31,458.0
32,493.0
33,509.0
34,533.0
35,542.0
36,548.0
37,577.0
38,589.0
39,612.0
40,630.0
41,651.0
42,655.0
43,657.0
44,666.0
45,675.0
46,682.0
47,712.0
48,727.0
49,739.0
50,748.0
51,761.0
52,778.0
53,784.0
54,804.0
55,812.0
56,818.0
57,836.0
58,849.0
59,858.0
60,870.0
61,871.0
62,879.0
63,896.0
64,896.0
65,900.0
66,909.0
67,928.0
68,930.0
69,939.0
70,946.0
71,950.0
72,951.0
73,962.0
74,970.0
75,997.0
76,1008.0
77,1009.0
78,1012.0
79,1016.0
80,1025.0
81,1030.0
82,1046.0
83,1047.0
84,1049.0
85,1053.0
86,1057.0
87,1061.0
88,1064.0
89,1065.0
90,1066.0
91,1066.0
