x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,2.0
6,2.0
7,2.0
8,4.0
9,10.0
10,13.0
11,13.0
12,13.0
13,16.0
14,22.0
15,22.0
16,32.0
17,32.0
18,41.0
19,61.0
20,61.0
21,77.0
22,93.0
23,110.0
24,110.0
25,120.0
26,133.0
27,157.0
28,163.0
29,187.0
30,248.0
31,267.0
32,318.0
33,333.0
34,368.0
35,391.0
36,412.0
37,438.0
38,446.0
39,470.0
40,479.0
41,494.0
42,508.0
43,520.0
44,527.0
45,541.0
46,548.0
47,576.0
48,582.0
49,609.0
50,619.0
51,630.0
52,632.0
53,641.0
54,658.0
55,663.0
56,668.0
57,672.0
58,673.0
59,677.0
60,677.0
61,682.0
62,688.0
63,696.0
64,704.0
65,707.0
66,710.0
67,717.0
68,721.0
69,725.0
70,729.0
71,733.0
72,737.0
73,740.0
74,741.0
75,750.0
76,784.0
77,796.0
78,809.0
79,845.0
80,859.0
81,870.0
82,878.0
83,886.0
84,891.0
85,902.0
86,911.0
87,931.0
88,954.0
89,961.0
90,1024.0
91,1086.0
92,1097.0
93,1114.0
94,1119.0
95,1140.0
96,1161.0
97,1168.0
98,1172.0
99,1191.0
100,1220.0
101,1233.0
