x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,3.0
6,3.0
7,3.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,6.0
17,6.0
18,7.0
19,10.0
20,13.0
21,14.0
22,14.0
23,31.0
24,31.0
25,37.0
26,48.0
27,50.0
28,59.0
29,59.0
30,59.0
31,59.0
32,76.0
33,76.0
34,91.0
35,99.0
36,101.0
37,101.0
38,101.0
39,117.0
40,120.0
41,124.0
42,124.0
43,141.0
44,141.0
45,141.0
46,152.0
47,154.0
48,158.0
49,166.0
50,170.0
51,178.0
52,189.0
53,199.0
54,199.0
55,199.0
56,211.0
57,211.0
58,213.0
59,215.0
60,219.0
61,223.0
62,226.0
63,229.0
64,233.0
65,238.0
66,240.0
67,249.0
68,255.0
69,265.0
70,265.0
71,266.0
72,266.0
73,269.0
74,273.0
75,280.0
76,288.0
77,296.0
