x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,3.0
5,8.0
6,8.0
7,10.0
8,10.0
9,11.0
10,11.0
11,18.0
12,18.0
13,19.0
14,20.0
15,21.0
16,24.0
17,24.0
18,24.0
19,25.0
20,26.0
21,35.0
22,48.0
23,49.0
24,49.0
25,49.0
26,51.0
27,51.0
28,51.0
29,59.0
30,60.0
31,61.0
32,61.0
33,61.0
34,61.0
35,61.0
36,61.0
37,61.0
38,63.0
39,63.0
40,63.0
41,63.0
42,63.0
43,64.0
44,64.0
45,64.0
46,64.0
47,64.0
48,64.0
49,64.0
50,64.0
51,64.0
52,64.0
53,65.0
54,65.0
55,65.0
56,68.0
57,69.0
58,71.0
59,72.0
60,75.0
61,75.0
62,75.0
63,77.0
64,99.0
65,105.0
66,118.0
67,130.0
68,156.0
69,168.0
