x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,4.0
11,4.0
12,4.0
13,7.0
14,28.0
15,28.0
16,28.0
17,37.0
18,37.0
19,51.0
20,51.0
21,51.0
22,56.0
23,56.0
24,56.0
25,56.0
26,62.0
27,68.0
28,68.0
29,75.0
30,75.0
31,77.0
32,77.0
33,77.0
34,78.0
35,78.0
36,78.0
37,79.0
38,79.0
39,79.0
40,79.0
41,79.0
42,79.0
43,79.0
44,79.0
45,79.0
46,81.0
47,81.0
48,81.0
49,81.0
50,81.0
51,81.0
52,81.0
53,82.0
54,82.0
55,82.0
56,82.0
57,82.0
58,82.0
59,82.0
60,82.0
61,82.0
62,82.0
63,82.0
64,82.0
65,82.0
66,82.0
67,82.0
68,82.0
69,82.0
70,82.0
71,82.0
72,82.0
73,82.0
74,82.0
75,82.0
76,82.0
77,82.0
78,82.0
79,82.0
80,82.0
81,82.0
82,82.0
83,82.0
84,82.0
85,82.0
86,82.0
87,82.0
88,82.0
89,82.0
