x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,3.0
13,3.0
14,6.0
15,8.0
16,12.0
17,17.0
18,25.0
19,27.0
20,36.0
21,49.0
22,83.0
23,143.0
24,179.0
25,209.0
26,274.0
27,299.0
28,358.0
29,394.0
30,460.0
31,491.0
32,537.0
33,581.0
34,649.0
35,696.0
36,771.0
37,811.0
38,843.0
39,880.0
40,912.0
41,955.0
42,999.0
43,1026.0
44,1053.0
45,1062.0
46,1070.0
47,1091.0
48,1128.0
49,1149.0
50,1239.0
51,1298.0
52,1326.0
53,1350.0
54,1370.0
55,1398.0
56,1410.0
57,1426.0
58,1438.0
59,1449.0
60,1344.0
61,1375.0
62,1385.0
63,1399.0
64,1406.0
65,1410.0
66,1419.0
67,1423.0
68,1428.0
69,1433.0
70,1436.0
71,1444.0
72,1479.0
73,1485.0
74,1491.0
75,1505.0
76,1511.0
77,1523.0
78,1534.0
79,1541.0
80,1547.0
81,1562.0
82,1577.0
83,1593.0
84,1604.0
85,1616.0
86,1623.0
87,1635.0
88,1639.0
89,1647.0
90,1656.0
91,1662.0
92,1670.0
93,1675.0
94,1678.0
