x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,2.0
7,2.0
8,3.0
9,3.0
10,5.0
11,7.0
12,19.0
13,34.0
14,51.0
15,59.0
16,77.0
17,140.0
18,203.0
19,335.0
20,484.0
21,670.0
22,798.0
23,875.0
24,1099.0
25,1333.0
26,1453.0
27,1605.0
28,1831.0
29,1950.0
30,1988.0
31,2178.0
32,2319.0
33,2487.0
34,2612.0
35,2729.0
36,2804.0
37,2843.0
38,2970.0
39,3034.0
40,3115.0
41,3223.0
42,3270.0
43,3281.0
44,3292.0
45,3307.0
46,3373.0
47,3444.0
48,3480.0
49,3537.0
50,3550.0
51,3558.0
52,3618.0
53,3654.0
54,3665.0
55,3695.0
56,3711.0
57,3723.0
58,3729.0
59,3741.0
60,3769.0
61,3784.0
62,3802.0
63,3812.0
64,3824.0
65,3828.0
66,3840.0
67,3851.0
68,3859.0
69,3871.0
70,3877.0
71,3886.0
72,3888.0
73,3894.0
74,3904.0
75,3915.0
76,3923.0
77,3930.0
78,3945.0
79,3947.0
80,3958.0
81,3971.0
82,3980.0
83,3981.0
84,3990.0
85,3992.0
86,3993.0
87,3995.0
88,4001.0
89,4008.0
90,4012.0
91,4016.0
92,4018.0
93,4019.0
