x,y
0,3.0
1,3.0
2,3.0
3,12.0
4,17.0
5,19.0
6,23.0
7,26.0
8,26.0
9,39.0
10,43.0
11,57.0
12,57.0
13,59.0
14,70.0
15,70.0
16,72.0
17,82.0
18,88.0
19,93.0
20,93.0
21,93.0
22,102.0
23,106.0
24,106.0
25,108.0
26,110.0
27,111.0
28,117.0
29,120.0
30,121.0
31,121.0
32,121.0
33,121.0
34,121.0
35,122.0
36,123.0
37,124.0
38,128.0
39,128.0
40,128.0
41,128.0
42,132.0
43,135.0
44,149.0
45,149.0
46,151.0
47,158.0
48,193.0
49,193.0
50,193.0
51,193.0
52,186.0
53,186.0
54,212.0
55,230.0
56,238.0
57,283.0
58,304.0
59,322.0
60,326.0
61,371.0
62,405.0
63,448.0
64,488.0
65,527.0
66,542.0
67,586.0
68,612.0
69,656.0
70,698.0
71,758.0
72,771.0
73,826.0
