x,y
0,3.0
1,4.0
2,4.0
3,4.0
4,7.0
5,8.0
6,8.0
7,8.0
8,8.0
9,8.0
10,10.0
11,12.0
12,12.0
13,12.0
14,16.0
15,16.0
16,18.0
17,18.0
18,18.0
19,19.0
20,19.0
21,22.0
22,22.0
23,22.0
24,22.0
25,22.0
26,22.0
27,22.0
28,22.0
29,22.0
30,22.0
31,22.0
32,22.0
33,23.0
34,23.0
35,25.0
36,29.0
37,29.0
38,36.0
39,50.0
40,50.0
41,83.0
42,93.0
43,99.0
44,117.0
45,129.0
46,149.0
47,149.0
48,197.0
49,238.0
50,428.0
51,566.0
52,673.0
53,790.0
54,900.0
55,1030.0
56,1183.0
57,1306.0
58,1518.0
59,1624.0
60,1796.0
61,2031.0
62,2161.0
63,2320.0
64,2470.0
65,2626.0
66,2766.0
67,2908.0
68,3116.0
69,3333.0
70,3483.0
71,3662.0
72,3793.0
73,3963.0
74,4119.0
75,4228.0
76,4346.0
77,4530.0
78,4683.0
79,4817.0
80,4987.0
81,5072.0
82,5182.0
83,5251.0
84,5305.0
85,5389.0
86,5425.0
87,5482.0
88,5532.0
89,5603.0
90,5691.0
91,5742.0
92,5780.0
93,5820.0
94,5851.0
95,5945.0
96,6002.0
97,6071.0
98,6176.0
99,6298.0
100,6353.0
101,6383.0
102,6428.0
103,6467.0
104,6535.0
105,6589.0
106,6656.0
107,6726.0
108,6742.0
109,6779.0
110,6819.0
111,6855.0
112,6872.0
113,6894.0
114,6941.0
115,6978.0
116,7009.0
117,7059.0
118,7137.0
119,7185.0
120,7245.0
121,7417.0
122,7604.0
123,7619.0
124,7629.0
125,7732.0
126,7762.0
127,7819.0
128,7857.0
