x,y
0,4.0
1,4.0
2,6.0
3,8.0
4,8.0
5,9.0
6,10.0
7,13.0
8,13.0
9,13.0
10,13.0
11,13.0
12,13.0
13,13.0
14,13.0
15,13.0
16,13.0
17,13.0
18,13.0
19,16.0
20,16.0
21,17.0
22,17.0
23,18.0
24,19.0
25,19.0
26,19.0
27,19.0
28,19.0
29,19.0
30,19.0
31,19.0
32,19.0
33,19.0
34,19.0
35,20.0
36,20.0
37,20.0
38,22.0
39,25.0
40,28.0
41,35.0
42,52.0
43,69.0
44,83.0
45,86.0
46,108.0
47,129.0
48,177.0
49,214.0
50,226.0
51,250.0
52,278.0
53,468.0
54,491.0
55,519.0
56,527.0
57,541.0
58,573.0
59,617.0
60,648.0
61,744.0
62,790.0
63,835.0
64,897.0
65,904.0
66,955.0
67,982.0
68,1031.0
69,1078.0
70,1094.0
71,1106.0
72,1143.0
73,1186.0
74,1216.0
75,1274.0
76,1313.0
77,1371.0
78,1395.0
79,1438.0
80,1457.0
81,1513.0
82,1591.0
83,1672.0
84,1773.0
85,1829.0
