x,y
0,2.0
1,4.0
2,11.0
3,18.0
4,18.0
5,25.0
6,28.0
7,31.0
8,36.0
9,39.0
10,41.0
11,45.0
12,47.0
13,56.0
14,59.0
15,74.0
16,87.0
17,87.0
18,105.0
19,123.0
20,144.0
21,148.0
22,171.0
23,171.0
24,216.0
25,224.0
26,246.0
27,258.0
28,293.0
29,309.0
30,325.0
31,370.0
32,389.0
33,408.0
34,424.0
35,482.0
36,490.0
37,508.0
38,544.0
39,563.0
40,580.0
41,612.0
42,631.0
43,650.0
44,668.0
45,692.0
46,704.0
47,712.0
48,730.0
49,758.0
50,779.0
51,806.0
52,835.0
53,860.0
54,874.0
55,901.0
56,931.0
57,947.0
58,969.0
59,1015.0
60,1030.0
61,1059.0
62,1077.0
63,1116.0
64,1194.0
65,1226.0
66,1250.0
67,1265.0
68,1315.0
