x,y
0,3.0
1,3.0
2,3.0
3,5.0
4,6.0
5,6.0
6,12.0
7,18.0
8,21.0
9,30.0
10,38.0
11,38.0
12,53.0
13,64.0
14,73.0
15,90.0
16,107.0
17,110.0
18,129.0
19,134.0
20,139.0
21,149.0
22,151.0
23,156.0
24,169.0
25,188.0
26,196.0
27,202.0
28,213.0
29,227.0
30,241.0
31,293.0
32,299.0
33,337.0
34,350.0
35,370.0
36,378.0
37,384.0
38,393.0
39,399.0
40,412.0
41,422.0
42,426.0
43,427.0
44,431.0
45,443.0
46,444.0
47,445.0
48,447.0
49,448.0
50,448.0
51,450.0
52,458.0
53,463.0
54,465.0
55,467.0
56,468.0
57,477.0
58,480.0
59,482.0
60,484.0
61,486.0
62,489.0
63,490.0
64,496.0
65,503.0
66,506.0
67,508.0
68,522.0
69,532.0
70,546.0
71,553.0
72,558.0
73,569.0
74,584.0
75,599.0
76,600.0
77,609.0
78,610.0
79,611.0
80,611.0
81,612.0
82,616.0
83,616.0
84,618.0
85,618.0
86,619.0
