x,y
0,3.0
1,3.0
2,12.0
3,14.0
4,28.0
5,36.0
6,42.0
7,48.0
8,81.0
9,94.0
10,102.0
11,107.0
12,128.0
13,143.0
14,161.0
15,169.0
16,186.0
17,196.0
18,227.0
19,244.0
20,268.0
21,273.0
22,314.0
23,318.0
24,319.0
25,324.0
26,324.0
27,324.0
28,324.0
29,324.0
30,324.0
31,325.0
32,328.0
33,328.0
34,328.0
35,329.0
36,331.0
37,331.0
38,331.0
39,332.0
40,334.0
41,334.0
42,332.0
43,332.0
44,332.0
45,332.0
46,332.0
47,332.0
48,332.0
49,332.0
50,332.0
51,332.0
52,332.0
53,332.0
54,332.0
55,332.0
56,332.0
57,332.0
58,332.0
59,332.0
60,332.0
61,332.0
62,332.0
63,332.0
64,332.0
65,332.0
66,332.0
67,334.0
68,334.0
69,334.0
70,334.0
71,334.0
72,335.0
73,335.0
74,335.0
75,335.0
