x,y
0,1.0
1,4.0
2,5.0
3,5.0
4,5.0
5,5.0
6,5.0
7,6.0
8,6.0
9,7.0
10,7.0
11,7.0
12,8.0
13,12.0
14,26.0
15,41.0
16,53.0
17,82.0
18,93.0
19,118.0
20,164.0
21,203.0
22,251.0
23,316.0
24,367.0
25,405.0
26,475.0
27,585.0
28,717.0
29,848.0
30,993.0
31,1094.0
32,1215.0
33,1378.0
34,1510.0
35,1688.0
36,1890.0
37,2143.0
38,2439.0
39,2785.0
40,3181.0
41,3441.0
42,3844.0
43,4219.0
44,4661.0
45,5014.0
46,5399.0
47,5847.0
48,6297.0
49,6875.0
50,7497.0
51,8261.0
52,8772.0
53,9501.0
54,10544.0
55,11633.0
56,12872.0
57,13842.0
58,14677.0
59,15529.0
60,16752.0
61,17799.0
62,19224.0
63,20739.0
64,22088.0
65,23471.0
66,24905.0
67,26025.0
68,27634.0
69,29616.0
70,31522.0
71,33460.0
72,35022.0
73,36327.0
74,38324.0
75,40186.0
76,42595.0
77,45032.0
78,47144.0
79,49219.0
80,51633.0
81,54346.0
82,56594.0
83,59567.0
84,62527.0
85,65856.0
86,68620.0
87,71105.0
88,74560.0
89,78023.0
90,81400.0
91,84627.0
92,87512.0
93,90664.0
94,93435.0
