x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,3.0
5,6.0
6,12.0
7,23.0
8,23.0
9,30.0
10,30.0
11,49.0
12,66.0
13,80.0
14,94.0
15,109.0
16,125.0
17,149.0
18,177.0
19,199.0
20,231.0
21,263.0
22,298.0
23,353.0
24,423.0
25,505.0
26,591.0
27,752.0
28,864.0
29,965.0
30,1056.0
31,1174.0
32,1289.0
33,1438.0
34,1560.0
35,1662.0
36,1712.0
37,1934.0
38,2049.0
39,2154.0
40,2264.0
41,2378.0
42,2472.0
43,2548.0
44,2614.0
45,2778.0
46,2926.0
47,3110.0
48,3304.0
49,3408.0
50,3481.0
51,3638.0
52,3771.0
53,3897.0
54,3980.0
55,4052.0
56,4121.0
57,4248.0
58,4363.0
59,4476.0
60,4605.0
61,4728.0
62,4867.0
63,4927.0
64,4995.0
65,5154.0
66,5406.0
67,5553.0
68,5745.0
69,5934.0
70,6060.0
71,6138.0
72,6340.0
73,6553.0
74,6704.0
75,6847.0
76,6994.0
77,7093.0
78,7147.0
79,7305.0
80,7537.0
81,7725.0
82,7896.0
83,8098.0
84,8251.0
85,8360.0
