x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,2.0
13,2.0
14,2.0
15,2.0
16,7.0
17,7.0
18,7.0
19,7.0
20,11.0
21,11.0
22,23.0
23,23.0
24,23.0
25,31.0
26,33.0
27,42.0
28,42.0
29,46.0
30,49.0
31,52.0
32,55.0
33,60.0
34,64.0
35,66.0
36,73.0
37,77.0
38,79.0
39,81.0
40,84.0
41,90.0
42,92.0
43,93.0
44,93.0
45,93.0
46,93.0
47,93.0
48,94.0
49,94.0
50,94.0
51,94.0
52,94.0
53,94.0
54,94.0
55,94.0
56,94.0
57,94.0
58,95.0
59,95.0
60,95.0
61,95.0
62,95.0
63,95.0
64,95.0
65,95.0
66,95.0
67,95.0
68,95.0
69,95.0
70,96.0
71,96.0
72,96.0
73,96.0
74,96.0
75,96.0
76,96.0
77,96.0
78,96.0
79,97.0
80,97.0
81,97.0
82,97.0
83,97.0
84,98.0
85,98.0
86,98.0
87,98.0
88,98.0
89,98.0
90,98.0
91,99.0
92,99.0
93,99.0
