x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,5.0
8,6.0
9,6.0
10,6.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,11.0
17,11.0
18,12.0
19,12.0
20,12.0
21,12.0
22,14.0
23,14.0
24,14.0
25,14.0
26,14.0
27,15.0
28,15.0
29,16.0
30,16.0
31,16.0
32,16.0
33,16.0
34,17.0
35,30.0
36,30.0
37,31.0
38,31.0
39,31.0
40,32.0
41,33.0
42,34.0
43,35.0
44,36.0
45,37.0
46,37.0
47,38.0
48,38.0
49,38.0
50,38.0
51,38.0
52,38.0
53,39.0
54,39.0
55,40.0
56,41.0
57,41.0
58,41.0
59,42.0
60,42.0
61,42.0
62,42.0
63,42.0
64,42.0
65,98.0
66,98.0
67,135.0
68,136.0
69,140.0
70,140.0
71,140.0
72,140.0
73,141.0
74,141.0
75,141.0
76,141.0
77,141.0
78,148.0
79,161.0
80,179.0
81,179.0
82,179.0
83,185.0
