x,y
0,2.0
1,2.0
2,3.0
3,14.0
4,14.0
5,21.0
6,27.0
7,47.0
8,52.0
9,69.0
10,82.0
11,84.0
12,85.0
13,91.0
14,109.0
15,123.0
16,144.0
17,174.0
18,201.0
19,214.0
20,233.0
21,241.0
22,248.0
23,252.0
24,255.0
25,263.0
26,272.0
27,274.0
28,283.0
29,288.0
30,303.0
31,303.0
32,307.0
33,308.0
34,312.0
35,313.0
36,315.0
37,316.0
38,319.0
39,320.0
40,321.0
41,321.0
42,321.0
43,322.0
44,322.0
45,322.0
46,322.0
47,322.0
48,323.0
49,324.0
50,324.0
51,324.0
52,324.0
53,324.0
54,324.0
55,324.0
56,324.0
57,324.0
58,324.0
59,324.0
60,324.0
61,324.0
62,324.0
63,324.0
64,324.0
65,324.0
66,324.0
67,324.0
68,324.0
69,324.0
70,324.0
71,324.0
72,324.0
73,324.0
74,324.0
75,324.0
76,324.0
