x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,3.0
9,5.0
10,6.0
11,7.0
12,17.0
13,28.0
14,29.0
15,38.0
16,49.0
17,63.0
18,77.0
19,96.0
20,115.0
21,143.0
22,170.0
23,225.0
24,275.0
25,345.0
26,402.0
27,479.0
28,556.0
29,617.0
30,654.0
31,708.0
32,791.0
33,919.0
34,1021.0
35,1120.0
36,1184.0
37,1275.0
38,1374.0
39,1448.0
40,1545.0
41,1661.0
42,1763.0
43,1888.0
44,2024.0
45,2283.0
46,2564.0
47,2685.0
48,2855.0
49,3046.0
50,3209.0
51,3446.0
52,3568.0
53,3758.0
54,3897.0
55,4065.0
56,4120.0
57,4252.0
58,4321.0
59,4423.0
60,4569.0
61,4729.0
62,4903.0
63,5053.0
64,5219.0
65,5408.0
66,5548.0
67,5711.0
68,5910.0
69,6063.0
70,6281.0
71,6418.0
72,6512.0
73,6607.0
74,6652.0
75,6741.0
76,6870.0
77,6952.0
78,7023.0
79,7133.0
80,7211.0
81,7332.0
82,7406.0
83,7433.0
84,7532.0
85,7577.0
86,7601.0
87,7643.0
88,7714.0
89,7780.0
90,7807.0
91,7833.0
