x,y
0,1.0
1,1.0
2,3.0
3,5.0
4,7.0
5,7.0
6,8.0
7,8.0
8,8.0
9,8.0
10,10.0
11,10.0
12,10.0
13,10.0
14,10.0
15,10.0
16,10.0
17,17.0
18,17.0
19,20.0
20,20.0
21,21.0
22,21.0
23,28.0
24,29.0
25,31.0
26,34.0
27,35.0
28,39.0
29,39.0
30,39.0
31,41.0
32,46.0
33,65.0
34,70.0
35,76.0
36,76.0
37,76.0
38,76.0
39,76.0
40,79.0
41,79.0
42,80.0
43,80.0
44,81.0
45,81.0
46,81.0
47,82.0
48,87.0
49,91.0
50,103.0
51,104.0
52,104.0
53,115.0
54,119.0
55,129.0
56,137.0
57,145.0
58,146.0
59,156.0
60,162.0
61,164.0
62,168.0
63,194.0
64,209.0
65,213.0
66,227.0
67,233.0
68,234.0
69,244.0
70,254.0
71,254.0
