x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,3.0
6,3.0
7,3.0
8,3.0
9,4.0
10,7.0
11,7.0
12,8.0
13,8.0
14,8.0
15,11.0
16,11.0
17,11.0
18,14.0
19,14.0
20,14.0
21,14.0
22,16.0
23,16.0
24,16.0
25,16.0
26,16.0
27,16.0
28,16.0
29,16.0
30,16.0
31,16.0
32,16.0
33,16.0
34,16.0
35,16.0
36,16.0
37,16.0
38,16.0
39,16.0
40,16.0
41,16.0
42,16.0
43,16.0
44,16.0
45,16.0
46,16.0
47,16.0
48,16.0
49,16.0
50,16.0
51,16.0
52,16.0
53,16.0
54,16.0
55,16.0
56,16.0
57,16.0
58,16.0
59,16.0
60,16.0
61,16.0
62,16.0
63,16.0
64,16.0
65,16.0
66,16.0
67,16.0
68,18.0
69,19.0
70,20.0
71,21.0
72,21.0
73,21.0
74,22.0
75,22.0
76,23.0
77,23.0
78,24.0
79,25.0
