x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,1.0
11,1.0
12,1.0
13,1.0
14,1.0
15,1.0
16,1.0
17,1.0
18,1.0
19,1.0
20,1.0
21,1.0
22,1.0
23,1.0
24,1.0
25,1.0
26,1.0
27,1.0
28,1.0
29,1.0
30,1.0
31,1.0
32,1.0
33,1.0
34,1.0
35,1.0
36,1.0
37,1.0
38,1.0
39,1.0
40,1.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
49,1.0
50,1.0
51,1.0
52,1.0
53,1.0
54,1.0
55,1.0
56,1.0
57,1.0
58,2.0
59,2.0
60,3.0
61,3.0
62,4.0
63,5.0
64,5.0
65,5.0
66,5.0
67,5.0
68,6.0
69,6.0
70,9.0
71,9.0
72,9.0
73,9.0
74,9.0
75,9.0
76,9.0
77,9.0
78,12.0
79,14.0
80,16.0
81,16.0
82,16.0
83,30.0
84,31.0
85,31.0
86,31.0
87,43.0
88,45.0
89,48.0
90,49.0
91,49.0
92,52.0
93,52.0
94,54.0
95,57.0
96,57.0
97,59.0
98,59.0
99,75.0
100,75.0
101,82.0
102,99.0
103,101.0
104,102.0
105,110.0
106,110.0
107,134.0
108,217.0
109,250.0
110,249.0
111,267.0
112,291.0
113,295.0
114,375.0
115,402.0
116,427.0
117,457.0
118,516.0
119,584.0
120,603.0
121,682.0
122,772.0
123,886.0
124,1042.0
125,1212.0
126,1401.0
127,1572.0
128,1811.0
