x,y
0,1.0
1,1.0
2,6.0
3,10.0
4,18.0
5,24.0
6,38.0
7,82.0
8,128.0
9,188.0
10,265.0
11,321.0
12,382.0
13,503.0
14,503.0
15,806.0
16,962.0
17,1138.0
18,1416.0
19,1711.0
20,2058.0
21,2467.0
22,3003.0
23,3640.0
24,4217.0
25,4764.0
26,5580.0
27,6438.0
28,7468.0
29,8647.0
30,9819.0
31,10930.0
32,11817.0
33,12667.0
34,13696.0
35,14786.0
36,15819.0
37,16725.0
38,17951.0
39,18924.0
40,19707.0
41,20680.0
42,21901.0
43,23247.0
44,24569.0
45,25743.0
46,26707.0
47,27577.0
48,28313.0
49,29380.0
50,30616.0
51,31763.0
52,32833.0
53,33583.0
54,34312.0
55,35027.0
56,35916.0
57,36724.0
58,37379.0
59,38035.0
60,38435.0
61,38607.0
62,38993.0
63,39507.0
64,39983.0
65,40428.0
66,40763.0
67,40962.0
68,41280.0
69,41512.0
70,41967.0
71,42286.0
72,42575.0
73,42820.0
74,42981.0
75,43177.0
76,43404.0
77,43674.0
78,43874.0
79,44064.0
80,44189.0
81,44335.0
82,44443.0
83,44641.0
84,44894.0
85,45082.0
86,45259.0
87,45431.0
88,45641.0
89,45774.0
90,45964.0
91,46146.0
92,46322.0
93,46454.0
94,46639.0
95,46742.0
