x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,3.0
6,3.0
7,4.0
8,5.0
9,5.0
10,5.0
11,5.0
12,5.0
13,5.0
14,5.0
15,6.0
16,8.0
17,8.0
18,12.0
19,20.0
20,28.0
21,39.0
22,52.0
23,102.0
24,102.0
25,155.0
26,205.0
27,283.0
28,368.0
29,451.0
30,514.0
31,589.0
32,647.0
33,708.0
34,797.0
35,868.0
36,950.0
37,1039.0
38,1106.0
39,1160.0
40,1210.0
41,1239.0
42,1283.0
43,1312.0
44,1330.0
45,1349.0
46,1366.0
47,1386.0
48,1401.0
49,1409.0
50,1422.0
51,1431.0
52,1440.0
53,1445.0
54,1451.0
55,1456.0
56,1461.0
57,1470.0
58,1469.0
59,1472.0
60,1474.0
61,1476.0
62,1479.0
63,1485.0
64,1487.0
65,1487.0
66,1486.0
67,1488.0
68,1489.0
69,1490.0
70,1492.0
71,1494.0
72,1497.0
73,1497.0
74,1497.0
75,1497.0
76,1498.0
77,1498.0
78,1499.0
79,1499.0
80,1499.0
81,1503.0
82,1503.0
83,1504.0
84,1504.0
85,1504.0
86,1504.0
87,1504.0
88,1504.0
89,1504.0
90,1504.0
91,1504.0
92,1504.0
93,1504.0
94,1504.0
