x,y
0,1.0
1,1.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,4.0
10,4.0
11,4.0
12,5.0
13,5.0
14,5.0
15,5.0
16,5.0
17,6.0
18,6.0
19,6.0
20,6.0
21,7.0
22,7.0
23,8.0
24,9.0
25,9.0
26,9.0
27,9.0
28,9.0
29,9.0
30,9.0
31,10.0
32,10.0
33,10.0
34,10.0
35,11.0
36,11.0
37,12.0
38,13.0
39,13.0
40,13.0
41,13.0
42,14.0
43,14.0
44,14.0
45,15.0
46,15.0
47,16.0
48,16.0
49,16.0
50,16.0
51,16.0
52,16.0
53,16.0
54,25.0
55,25.0
56,25.0
57,25.0
58,25.0
59,25.0
60,25.0
61,254.0
62,254.0
63,279.0
64,279.0
65,279.0
66,279.0
67,279.0
68,759.0
69,759.0
70,759.0
71,759.0
72,759.0
73,759.0
74,759.0
