x,y
0,1.0
1,1.0
2,2.0
3,3.0
4,3.0
5,7.0
6,10.0
7,10.0
8,10.0
9,18.0
10,27.0
11,27.0
12,74.0
13,98.0
14,120.0
15,144.0
16,184.0
17,253.0
18,278.0
19,342.0
20,410.0
21,438.0
22,491.0
23,529.0
24,529.0
25,570.0
26,584.0
27,584.0
28,627.0
29,639.0
30,648.0
31,648.0
32,657.0
33,662.0
34,671.0
35,681.0
36,684.0
37,696.0
38,701.0
39,709.0
40,713.0
41,719.0
42,728.0
43,736.0
44,750.0
45,755.0
46,763.0
47,770.0
48,781.0
49,795.0
50,815.0
51,821.0
52,832.0
53,854.0
54,860.0
55,876.0
56,885.0
57,889.0
58,904.0
59,909.0
60,914.0
61,920.0
62,924.0
63,937.0
64,943.0
65,945.0
66,951.0
67,952.0
68,952.0
69,955.0
70,955.0
71,956.0
72,958.0
73,958.0
