x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,1.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,3.0
19,8.0
20,8.0
21,12.0
22,22.0
23,30.0
24,40.0
25,44.0
26,51.0
27,65.0
28,70.0
29,89.0
30,111.0
31,131.0
32,135.0
33,174.0
34,184.0
35,210.0
36,214.0
37,232.0
38,238.0
39,254.0
40,276.0
41,288.0
42,305.0
43,318.0
44,323.0
45,343.0
46,373.0
47,407.0
48,442.0
49,493.0
50,542.0
51,627.0
52,665.0
53,665.0
54,873.0
55,981.0
56,1095.0
57,1182.0
58,1273.0
59,1337.0
60,1532.0
61,1728.0
62,1932.0
63,2170.0
64,2388.0
65,2558.0
66,2802.0
67,2950.0
68,3145.0
69,3526.0
70,3912.0
71,4151.0
72,4399.0
73,4641.0
74,4787.0
75,4971.0
76,5162.0
77,5450.0
78,5621.0
79,5959.0
80,6175.0
81,6401.0
82,6677.0
83,7016.0
84,7261.0
85,7526.0
86,7839.0
87,8068.0
88,8344.0
89,8733.0
90,8915.0
91,9302.0
92,9855.0
93,10162.0
94,10578.0
