x,y
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,1.0
8,1.0
9,3.0
10,3.0
11,3.0
12,3.0
13,7.0
14,7.0
15,7.0
16,14.0
17,14.0
18,14.0
19,18.0
20,26.0
21,35.0
22,48.0
23,67.0
24,85.0
25,115.0
26,136.0
27,148.0
28,177.0
29,201.0
30,219.0
31,241.0
32,259.0
33,285.0
34,329.0
35,354.0
36,384.0
37,430.0
38,483.0
39,555.0
40,570.0
41,599.0
42,617.0
43,663.0
44,711.0
45,760.0
46,828.0
47,854.0
48,908.0
49,974.0
50,1081.0
51,1117.0
52,1170.0
53,1207.0
54,1225.0
55,1231.0
56,1259.0
57,1300.0
58,1326.0
59,1367.0
60,1386.0
61,1399.0
62,1421.0
63,1442.0
64,1465.0
65,1494.0
66,1506.0
67,1511.0
68,1518.0
69,1526.0
70,1539.0
71,1572.0
72,1586.0
73,1622.0
74,1642.0
75,1664.0
76,1674.0
77,1694.0
78,1723.0
79,1740.0
80,1762.0
81,1792.0
82,1817.0
83,1839.0
84,1858.0
85,1898.0
86,1921.0
87,1941.0
88,1978.0
89,1999.0
90,2014.0
91,2039.0
92,2077.0
93,2129.0
94,2164.0
95,2226.0
96,2315.0
