x,y
0,1.0
1,1.0
2,6.0
3,15.0
4,19.0
5,25.0
6,32.0
7,56.0
8,87.0
9,108.0
10,147.0
11,176.0
12,205.0
13,400.0
14,598.0
15,702.0
16,996.0
17,1090.0
18,1221.0
19,1333.0
20,1463.0
21,1550.0
22,1746.0
23,1914.0
24,2118.0
25,2385.0
26,2621.0
27,2863.0
28,3084.0
29,3369.0
30,3755.0
31,4015.0
32,4284.0
33,4445.0
34,4641.0
35,4863.0
36,5147.0
37,5370.0
38,5550.0
39,5687.0
40,5865.0
41,6086.0
42,6086.0
43,6211.0
44,6314.0
45,6409.0
46,6525.0
47,6603.0
48,6623.0
49,6740.0
50,6896.0
51,6937.0
52,7036.0
53,7078.0
54,7156.0
55,7191.0
56,7338.0
57,7401.0
58,7463.0
59,7499.0
60,7527.0
61,7599.0
62,7660.0
63,7710.0
64,7738.0
65,7783.0
66,7809.0
67,7847.0
68,7904.0
69,7955.0
70,7996.0
71,8034.0
72,8070.0
73,8099.0
74,8105.0
75,8132.0
76,8157.0
77,8175.0
78,8196.0
79,8219.0
80,8237.0
81,8249.0
82,8257.0
83,8267.0
84,8281.0
85,8309.0
86,8332.0
87,8346.0
88,8352.0
89,8364.0
90,8383.0
91,8401.0
92,8411.0
93,8422.0
94,8437.0
95,8440.0
96,8446.0
