x,y
0,2.0
1,2.0
2,4.0
3,4.0
4,4.0
5,6.0
6,6.0
7,6.0
8,12.0
9,15.0
10,16.0
11,16.0
12,16.0
13,16.0
14,16.0
15,18.0
16,18.0
17,18.0
18,19.0
19,19.0
20,22.0
21,22.0
22,24.0
23,39.0
24,48.0
25,48.0
26,52.0
27,55.0
28,66.0
29,84.0
30,99.0
31,109.0
32,131.0
33,152.0
34,167.0
35,179.0
36,192.0
37,210.0
38,231.0
39,252.0
40,277.0
41,298.0
42,331.0
43,371.0
44,419.0
45,457.0
46,484.0
47,546.0
48,599.0
49,727.0
50,813.0
51,910.0
52,1019.0
53,1069.0
54,1180.0
55,1266.0
56,1410.0
57,1508.0
58,1614.0
59,1716.0
60,1790.0
61,1905.0
62,1998.0
63,2049.0
64,2131.0
65,2274.0
66,2348.0
67,2447.0
68,2483.0
69,2568.0
70,2637.0
71,2735.0
72,2903.0
73,2958.0
74,3112.0
75,3224.0
76,3399.0
77,3573.0
78,3721.0
79,4019.0
80,4341.0
81,4625.0
82,5029.0
83,5186.0
84,5379.0
85,5671.0
86,6043.0
87,6370.0
88,6794.0
89,7257.0
90,7770.0
91,7770.0
92,8118.0
93,8373.0
94,9009.0
95,9820.0
96,10423.0
97,11437.0
98,12223.0
