x,y
0,2.0
1,2.0
2,2.0
3,4.0
4,4.0
5,4.0
6,5.0
7,5.0
8,5.0
9,6.0
10,6.0
11,6.0
12,6.0
13,16.0
14,19.0
15,20.0
16,28.0
17,31.0
18,53.0
19,136.0
20,236.0
21,299.0
22,454.0
23,501.0
24,730.0
25,776.0
26,875.0
27,972.0
28,1063.0
29,1201.0
30,1373.0
31,1495.0
32,1597.0
33,1717.0
34,1938.0
35,2118.0
36,2421.0
37,2686.0
38,2818.0
39,3157.0
40,3766.0
41,4035.0
42,4263.0
43,4489.0
44,4695.0
45,5011.0
46,5230.0
47,5496.0
48,5837.0
49,6383.0
50,6919.0
51,7025.0
52,7638.0
53,8348.0
54,8418.0
55,9565.0
56,10076.0
57,11155.0
58,11940.0
59,12723.0
60,13328.0
61,13915.0
62,14612.0
63,15525.0
64,16817.0
65,18114.0
66,19103.0
67,20084.0
68,20941.0
69,22049.0
70,24073.0
71,24644.0
72,26435.0
73,28736.0
74,30334.0
75,32081.0
76,34336.0
77,35298.0
78,35788.0
79,38799.0
80,38799.0
81,40151.0
82,42125.0
83,43966.0
84,45898.0
85,48091.0
86,50694.0
87,52437.0
88,54601.0
89,56349.0
90,57705.0
91,59151.0
92,61227.0
93,64028.0
94,66457.0
95,69496.0
96,72460.0
97,76398.0
