x,y
0,1.0
1,8.0
2,11.0
3,27.0
4,36.0
5,43.0
6,55.0
7,69.0
8,86.0
9,109.0
10,137.0
11,200.0
12,313.0
13,345.0
14,345.0
15,443.0
16,558.0
17,674.0
18,786.0
19,901.0
20,989.0
21,1181.0
22,1181.0
23,1317.0
24,1475.0
25,1673.0
26,1801.0
27,1988.0
28,2100.0
29,2249.0
30,2528.0
31,2752.0
32,2974.0
33,3234.0
34,3400.0
35,3472.0
36,3574.0
37,3751.0
38,4016.0
39,4210.0
40,4273.0
41,4467.0
42,4658.0
43,4821.0
44,5166.0
45,5338.0
46,5538.0
47,5779.0
48,6021.0
49,6021.0
50,6378.0
51,6532.0
52,6720.0
53,7090.0
54,7090.0
55,7197.0
56,7523.0
57,7731.0
58,7868.0
59,8070.0
60,8282.0
61,8448.0
62,8616.0
63,8783.0
64,8944.0
65,9118.0
66,9268.0
67,9449.0
68,9606.0
69,9726.0
70,9867.0
71,9977.0
72,10116.0
73,10267.0
74,10577.0
75,10926.0
76,11183.0
77,11447.0
78,11728.0
79,12131.0
80,12531.0
81,13018.0
82,13463.0
83,13837.0
