x,y
0,1.0
1,1.0
2,1.0
3,5.0
4,5.0
5,6.0
6,6.0
7,6.0
8,8.0
9,9.0
10,11.0
11,11.0
12,13.0
13,18.0
14,22.0
15,22.0
16,27.0
17,37.0
18,41.0
19,52.0
20,56.0
21,59.0
22,64.0
23,65.0
24,69.0
25,77.0
26,92.0
27,96.0
28,104.0
29,113.0
30,115.0
31,119.0
32,124.0
33,129.0
34,133.0
35,134.0
36,147.0
37,159.0
38,161.0
39,174.0
40,199.0
41,202.0
42,206.0
43,208.0
44,208.0
45,213.0
46,213.0
47,223.0
48,228.0
49,228.0
50,228.0
51,239.0
52,239.0
53,266.0
54,333.0
55,370.0
56,396.0
57,415.0
58,431.0
59,440.0
60,462.0
61,563.0
62,689.0
63,713.0
64,724.0
65,737.0
66,740.0
67,754.0
68,759.0
69,778.0
70,786.0
71,788.0
72,829.0
73,833.0
74,836.0
75,838.0
76,850.0
77,862.0
78,865.0
79,877.0
80,884.0
81,900.0
82,917.0
83,964.0
84,986.0
85,995.0
