x,y
0,1.0
1,1.0
2,6.0
3,7.0
4,11.0
5,11.0
6,15.0
7,28.0
8,38.0
9,43.0
10,86.0
11,117.0
12,145.0
13,234.0
14,234.0
15,318.0
16,363.0
17,395.0
18,416.0
19,480.0
20,580.0
21,635.0
22,671.0
23,852.0
24,950.0
25,1065.0
26,1323.0
27,1414.0
28,1595.0
29,1746.0
30,2281.0
31,2561.0
32,2954.0
33,4342.0
34,5256.0
35,5897.0
36,6848.0
37,7519.0
38,9784.0
39,10303.0
40,11475.0
41,12491.0
42,13489.0
43,14420.0
44,15628.0
45,16325.0
46,17837.0
47,19250.0
48,20914.0
49,21648.0
50,25331.0
51,27517.0
52,28699.0
53,31190.0
54,33931.0
55,36976.0
56,40459.0
57,42534.0
58,45928.0
59,47372.0
60,51189.0
61,54817.0
62,58526.0
63,61847.0
64,65015.0
65,67307.0
66,68822.0
67,72059.0
68,76306.0
69,80604.0
70,84495.0
71,88541.0
72,92273.0
73,94933.0
74,99483.0
75,104020.0
76,108769.0
77,111698.0
78,115754.0
79,119959.0
80,123979.0
81,129751.0
82,135905.0
83,141779.0
84,148285.0
85,155671.0
86,164476.0
87,170039.0
