x,y
0,1.0
1,1.0
2,1.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,3.0
9,3.0
10,3.0
11,3.0
12,3.0
13,3.0
14,3.0
15,3.0
16,3.0
17,3.0
18,3.0
19,3.0
20,3.0
21,3.0
22,3.0
23,3.0
24,3.0
25,3.0
26,3.0
27,3.0
28,3.0
29,3.0
30,3.0
31,3.0
32,3.0
33,3.0
34,3.0
35,3.0
36,5.0
37,6.0
38,10.0
39,20.0
40,33.0
41,49.0
42,52.0
43,64.0
44,111.0
45,140.0
46,142.0
47,187.0
48,202.0
49,217.0
50,230.0
51,307.0
52,380.0
53,462.0
54,552.0
55,636.0
56,707.0
57,803.0
58,1075.0
59,1418.0
60,1546.0
61,2084.0
62,2311.0
63,2633.0
64,3018.0
65,3094.0
66,3246.0
67,3660.0
68,3764.0
69,3870.0
70,4076.0
71,4195.0
72,4428.0
73,4648.0
74,4932.0
75,5223.0
76,5453.0
77,5660.0
78,5878.0
79,6087.0
80,6259.0
81,6459.0
82,6599.0
83,6710.0
84,6981.0
85,7192.0
86,7294.0
87,7579.0
88,7777.0
89,7958.0
90,8212.0
91,8488.0
92,8772.0
93,8928.0
94,9223.0
95,9485.0
96,9684.0
97,10004.0
98,10343.0
99,10463.0
100,10610.0
101,10794.0
102,11086.0
103,11350.0
104,11618.0
105,11876.0
106,12091.0
107,12305.0
108,12513.0
109,12718.0
110,12942.0
111,13221.0
112,13434.0
113,13597.0
114,13777.0
115,14035.0
116,14319.0
117,14669.0
118,15049.0
119,15588.0
120,16634.0
121,17224.0
122,18086.0
123,18638.0
