x,y
0,1.0
1,1.0
2,5.0
3,5.0
4,11.0
5,16.0
6,22.0
7,31.0
8,49.0
9,68.0
10,103.0
11,119.0
12,177.0
13,238.0
14,251.0
15,355.0
16,425.0
17,536.0
18,634.0
19,749.0
20,901.0
21,1051.0
22,1221.0
23,1389.0
24,1638.0
25,1862.0
26,2055.0
27,2311.0
28,2554.0
29,2946.0
30,3383.0
31,3627.0
32,4102.0
33,4413.0
34,4848.0
35,5205.0
36,5575.0
37,5955.0
38,6356.0
39,6674.0
40,6934.0
41,7202.0
42,7582.0
43,7918.0
44,8379.0
45,8742.0
46,9287.0
47,9593.0
48,9856.0
49,10169.0
50,10511.0
51,10892.0
52,11273.0
53,11617.0
54,11902.0
55,12218.0
56,12640.0
57,12877.0
58,13105.0
59,13375.0
60,13693.0
61,14006.0
62,14431.0
63,14740.0
64,15047.0
65,15366.0
66,15651.0
67,15996.0
68,16326.0
69,16921.0
70,17204.0
71,17615.0
72,18016.0
73,18257.0
74,18529.0
75,18885.0
76,19268.0
77,19739.0
78,20143.0
79,20619.0
80,20931.0
81,21326.0
82,21631.0
83,22074.0
84,22473.0
85,22825.0
86,23155.0
87,23571.0
88,23786.0
89,24165.0
