x,y
0,2.0
1,2.0
2,5.0
3,8.0
4,13.0
5,20.0
6,30.0
7,30.0
8,41.0
9,59.0
10,59.0
11,112.0
12,169.0
13,245.0
14,331.0
15,448.0
16,448.0
17,785.0
18,1020.0
19,1280.0
20,1600.0
21,2060.0
22,2362.0
23,2995.0
24,3544.0
25,4268.0
26,5170.0
27,5962.0
28,6408.0
29,7443.0
30,8251.0
31,9034.0
32,9886.0
33,10524.0
34,11278.0
35,11730.0
36,12442.0
37,13141.0
38,13956.0
39,15472.0
40,15987.0
41,16585.0
42,16934.0
43,17448.0
44,18091.0
45,18841.0
46,19022.0
47,19685.0
48,20206.0
49,20863.0
50,21379.0
51,21982.0
52,22353.0
53,22797.0
54,23392.0
55,23864.0
56,24027.0
57,24322.0
58,24505.0
59,25045.0
60,25351.0
61,25190.0
62,25282.0
63,25524.0
64,25702.0
65,26182.0
66,26715.0
67,27268.0
68,27406.0
69,27581.0
70,27679.0
71,27913.0
72,28132.0
73,28319.0
74,28583.0
75,28810.0
76,29036.0
77,29209.0
78,29432.0
79,29660.0
80,29912.0
81,30200.0
82,30471.0
83,30623.0
84,30788.0
85,31007.0
86,31292.0
87,31596.0
88,31946.0
89,32203.0
90,32500.0
91,32700.0
