x,y
0,1.0
1,3.0
2,3.0
3,7.0
4,8.0
5,8.0
6,8.0
7,8.0
8,15.0
9,18.0
10,24.0
11,262.0
12,262.0
13,320.0
14,337.0
15,401.0
16,439.0
17,439.0
18,452.0
19,460.0
20,470.0
21,481.0
22,494.0
23,501.0
24,526.0
25,537.0
26,549.0
27,562.0
28,590.0
29,634.0
30,693.0
31,781.0
32,835.0
33,949.0
34,1075.0
35,1325.0
36,1604.0
37,1832.0
38,2057.0
39,2210.0
40,2376.0
41,2512.0
42,2728.0
43,2979.0
44,3231.0
45,3428.0
46,3711.0
47,4103.0
48,4663.0
49,5008.0
50,5448.0
51,6015.0
52,6533.0
53,7141.0
54,7764.0
55,8525.0
56,9358.0
57,10287.0
58,11244.0
59,11921.0
60,12564.0
61,13409.0
62,14096.0
63,14872.0
64,15551.0
65,16191.0
66,17142.0
67,17972.0
68,18890.0
69,20201.0
70,21331.0
71,22520.0
72,23623.0
73,25149.0
74,26539.0
75,28272.0
76,29425.0
77,30972.0
78,32604.0
79,33969.0
80,35606.0
81,37097.0
82,38651.0
83,40481.0
84,42213.0
85,43714.0
86,45465.0
87,47207.0
88,48947.0
89,50914.0
90,52907.0
91,55262.0
92,56910.0
93,58433.0
