x,y
0,1.0
1,1.0
2,3.0
3,3.0
4,3.0
5,3.0
6,3.0
7,4.0
8,6.0
9,9.0
10,9.0
11,15.0
12,15.0
13,25.0
14,45.0
15,49.0
16,89.0
17,123.0
18,131.0
19,158.0
20,184.0
21,260.0
22,277.0
23,308.0
24,367.0
25,433.0
26,576.0
27,794.0
28,906.0
29,1029.0
30,1292.0
31,1452.0
32,1815.0
33,2109.0
34,2245.0
35,2460.0
36,2738.0
37,3183.0
38,3613.0
39,3864.0
40,4057.0
41,4417.0
42,4761.0
43,5202.0
44,5467.0
45,5990.0
46,6300.0
47,6633.0
48,6879.0
49,7216.0
50,7707.0
51,8067.0
52,8418.0
53,8746.0
54,8936.0
55,9242.0
56,9710.0
57,10096.0
58,10417.0
59,10635.0
60,11036.0
61,11339.0
62,11616.0
63,11978.0
64,12240.0
65,12567.0
66,12732.0
67,13163.0
68,13512.0
69,13837.0
70,14107.0
71,14499.0
72,14811.0
73,15131.0
74,15362.0
75,15588.0
76,15778.0
77,16002.0
78,16247.0
79,16437.0
80,16704.0
81,16871.0
82,17036.0
83,17191.0
84,17387.0
85,17585.0
86,17712.0
87,17857.0
88,18070.0
89,18283.0
90,18429.0
91,18594.0
92,18791.0
93,18982.0
94,19133.0
95,19257.0
96,19398.0
