x,y
0,2.0
1,2.0
2,2.0
3,2.0
4,2.0
5,2.0
6,2.0
7,2.0
8,2.0
9,2.0
10,2.0
11,2.0
12,2.0
13,2.0
14,2.0
15,2.0
16,2.0
17,2.0
18,2.0
19,2.0
20,2.0
21,2.0
22,2.0
23,2.0
24,2.0
25,2.0
26,2.0
27,2.0
28,2.0
29,2.0
30,2.0
31,3.0
32,3.0
33,3.0
34,4.0
35,13.0
36,13.0
37,17.0
38,17.0
39,20.0
40,20.0
41,28.0
42,45.0
43,59.0
44,63.0
45,90.0
46,114.0
47,147.0
48,199.0
49,253.0
50,306.0
51,367.0
52,438.0
53,495.0
54,658.0
55,840.0
56,1036.0
57,1264.0
58,1534.0
59,1836.0
60,2337.0
61,2777.0
62,3548.0
63,4149.0
64,4731.0
65,5389.0
66,6343.0
67,7497.0
68,8672.0
69,10131.0
70,11917.0
71,13584.0
72,15770.0
73,18328.0
74,21102.0
75,24490.0
76,27938.0
77,32008.0
78,36793.0
79,42853.0
80,47121.0
81,52763.0
82,57999.0
83,62773.0
84,68622.0
85,74588.0
86,80949.0
87,87147.0
88,93558.0
89,99399.0
90,106498.0
91,114431.0
92,124054.0
93,134687.0
94,145268.0
95,155370.0
96,165929.0
97,177160.0
98,187859.0
99,198676.0
100,209688.0
101,221344.0
102,232243.0
103,242271.0
104,252245.0
105,262843.0
106,272043.0
107,281752.0
108,290678.0
109,299941.0
110,308705.0
111,317554.0
112,326448.0
113,335882.0
114,344481.0
115,353427.0
116,362342.0
117,370680.0
118,379051.0
119,387623.0
120,396575.0
121,405843.0
122,414328.0
