x,y
0,1.0
1,1.0
2,5.0
3,7.0
4,8.0
5,8.0
6,17.0
7,17.0
8,19.0
9,36.0
10,40.0
11,41.0
12,50.0
13,54.0
14,60.0
15,70.0
16,70.0
17,75.0
18,82.0
19,84.0
20,89.0
21,102.0
22,104.0
23,105.0
24,105.0
25,110.0
26,110.0
27,118.0
28,120.0
29,126.0
30,127.0
31,134.0
32,136.0
33,138.0
34,143.0
35,144.0
36,147.0
37,147.0
38,150.0
39,153.0
40,154.0
41,176.0
42,183.0
43,191.0
44,207.0
45,212.0
46,225.0
47,243.0
48,249.0
49,255.0
50,259.0
51,261.0
52,261.0
53,268.0
54,271.0
55,273.0
56,280.0
57,284.0
58,285.0
59,286.0
60,287.0
61,287.0
62,287.0
63,289.0
64,292.0
65,297.0
66,308.0
67,314.0
68,320.0
69,321.0
70,325.0
71,327.0
72,336.0
73,339.0
74,346.0
75,349.0
76,355.0
77,359.0
78,370.0
79,377.0
